Procedure and method,Procedure,Method,LOW VTE risk without thromboprophylaxis,MEDIUM VTE risk without thromboprophylaxis,HIGH VTE risk without thromboprophylaxis,Evidence quality VTE,Bleeding requiring reintervention without thromboprophylaxis,Evidence quality bleeding requiring reoperation,LOW VTE risk with thromboprophylaxis,MEDIUM VTE risk with thromboprophylaxis,HIGH VTE risk with thromboprophylaxis,Bleeding requiring reintervention with thromboprophylaxis,,Bleeding leading to transfusion without thromboprophylaxis,Evidence quality bleeding leading to transfusion,Bleeding leading to transfusion with thromboprophylaxis
"Gastrectomy, minimally-invasive*",Gastrectomy,minimally-invasive*,1.8,3.5,7.0,Very low,1.1,Very low,0.8,1.6,3.2,1.7,,NR,,NR
"Gastrectomy, open*",Gastrectomy,open*,1.9,3.7,7.5,Very low,0.4,Low,0.9,1.7,3.5,0.6,,NR,,NR
"Gastric bypass, laparoscopic",Gastric bypass,laparoscopic,NA,0.4,0.9,Moderate,0.3,Low,NA,0.2,0.4,0.5,,0.5,Moderate,0.8
"Gastric bypass, robotic",Gastric bypass,robotic,NA,1.3,2.5,Low,0.3,Very low,NA,0.6,1.2,0.5,,0.5,Moderate,0.8
"Gastric bypass, open",Gastric bypass,open,NA,1.1,2.3,Very low,0.2,Moderate,NA,0.5,1.1,0.3,,0.8,Moderate,1.2
"Sleeve gastrectomy, laparoscopic",Sleeve gastrectomy,laparoscopic,NA,0.2,0.4,Moderate,0.3,Moderate,NA,0.1,0.2,0.5,,0.5,Low,0.8
"Sleeve gastrectomy, robotic",Sleeve gastrectomy,robotic,NA,0.8,1.6,Moderate,0.5,Low,NA,0.4,0.7,0.8,,1,Moderate,1.5
"Distal pancreatectomy, minimally-invasive",Distal pancreatectomy,minimally-invasive,1.8,3.6,7.3,Moderate,0.9,Low,0.8,1.7,3.4,1.4,,4.4,Moderate,6.6
"Distal pancreatectomy, minimally-invasive, benign",Distal pancreatectomy,"minimally-invasive, benign",1.6,3.3,6.6,Moderate,NR,,0.7,1.5,3.0,NR,,4.2,Moderate,6.3
"Distal pancreatectomy, minimally-invasive, malignant",Distal pancreatectomy,"minimally-invasive, malignant",2.3,4.7,9.3,Low,NR,,1.1,2.2,4.3,NR,,4.6,Moderate,6.9
"Distal pancreatectomy, open",Distal pancreatectomy,open,4.2,8.3,16.7,Low,0.7,Very low,1.9,3.8,7.7,1.1,,9.5,Low,14.3
"Distal pancreatectomy, open, benign",Distal pancreatectomy,"open, benign",1.6,3.2,6.3,Low,NR,,0.7,1.5,2.9,NR,,7.8,Low,11.8
"Distal pancreatectomy, open, malignant",Distal pancreatectomy,"open, malignant",4.5,9.0,17.9,Low,NR,,2.1,4.1,8.2,NR,,9.6,Low,14.5
"Pancreaticoduodenectomy, minimally-invasive",Pancreaticoduodenectomy,minimally-invasive,3.7,7.4,14.8,Low,1.8,Very low,1.7,3.4,6.8,2.7,,2.4,Low,3.6
"Pancreaticoduodenectomy, open",Pancreaticoduodenectomy,open,4.1,8.3,16.6,Low,2.7,Low,1.9,3.8,7.6,4.1,,8.3,Low,12.5
"Liver resection, minimally-invasive, minor",Liver resection,"minimally-invasive, minor",0.5,1.1,2.1,Low,NR,,0.2,0.5,1.0,NR,,2.5,Moderate,3.8
"Liver resection, minimally-invasive, major",Liver resection,"minimally-invasive, major",3.0,5.9,11.8,Very low,NR,,1.4,2.7,5.4,NR,,7.7,Very low,11.6
"Liver resection, open, minor",Liver resection,"open, minor",2.4,4.8,9.6,Low,0.5,Moderate,1.1,2.2,4.4,0.8,,4.6,Low,6.9
"Liver resection, open, major",Liver resection,"open, major",3.9,7.8,15.5,Low,0.9,Low,1.8,3.6,7.1,1.4,,12.9,Low,19.5
