Procedure and method,Procedure,Method,LOW VTE risk without thromboprophylaxis,MEDIUM VTE risk without thromboprophylaxis,HIGH VTE risk without thromboprophylaxis,Evidence quality VTE,Bleeding requiring reintervention without thromboprophylaxis,Evidence quality bleeding requiring reoperation,LOW VTE risk with thromboprophylaxis,MEDIUM VTE risk with thromboprophylaxis,HIGH VTE risk with thromboprophylaxis,Bleeding requiring reintervention with thromboprophylaxis,,Bleeding leading to transfusion without thromboprophylaxis,Evidence quality bleeding leading to transfusion,Bleeding leading to transfusion with thromboprophylaxis
"Cervical conization, vaginal",Cervical conization,vaginal,0.1,0.2,0.3,Low,NR,,<0.1,0.1,0.1,NR,,4.4,Moderate,6.6
"Radical trachelectomy, vaginal*",Radical trachelectomy,vaginal*,2.5,4.9,9.8,Very low,1.2,Very low,1.2,2.3,4.5,1.8,,4.2,Moderate,6.3
"Radical trachelectomy, open, with lymphadenectomy",Radical trachelectomy,"open, with lymphadenectomy",1.8,3.5,7.0,Very low,0.4,Very low,0.8,1.6,3.2,0.6,,4.6,Moderate,6.9
"Surgery for ovarian cancer, minimally-invasive",Surgery for ovarian cancer,minimally-invasive,2.1,4.2,8.4,Low,NR,,1.0,1.9,3.9,NR,,9.5,Low,14.3
"Surgery for ovarian cancer, open",Surgery for ovarian cancer,open,5.1,10.1,20.3,Low,1.2,Very low,2.3,4.6,9.3,1.8,,7.8,Low,11.8
"Pelvic exenteration, open",Pelvic exenteration,open,8.4,16.7,33.5,Very low,0.7,Very low,3.9,7.7,15.4,1.1,,9.6,Low,14.5
"Vulvectomy for cancer*, any",Vulvectomy for cancer*,any,1.9,3.8,7.5,Low,NR,,0.9,1.7,3.5,NR,,2.4,Low,3.6
"Radical vulvectomy, open, with lymphadenectomy",Radical vulvectomy,"open, with lymphadenectomy",7.1,14.2,28.5,Very low,NR,,3.3,6.5,13.1,NR,,8.3,Low,12.5
"Total hysterectomy, laparoscopic",Total hysterectomy,laparoscopic,0.3,0.5,1.1,Moderate,0.2,Very low,0.1,0.2,0.5,0.3,,2.5,Moderate,3.8
"Total hysterectomy, laparoscopic, with lymphadenectomy",Total hysterectomy,"laparoscopic, with lymphadenectomy",0.9,1.8,3.6,Low,0.3,Low,0.4,0.8,1.7,0.5,,7.7,Very low,11.6
"Total hysterectomy, robotic, with lymphadenectomy",Total hysterectomy,"robotic, with lymphadenectomy",1.2,2.3,4.7,Low,0.3,Moderate,0.6,1.1,2.2,0.5,,4.6,Low,6.9
"Total hysterectomy, open, with lymphadenectomy",Total hysterectomy,"open, with lymphadenectomy",2.6,5.1,10.2,Very low,<0.1,Very low,1.2,2.3,4.7,<0.1,,12.9,Low,19.5
"Radical hysterectomy, laparoscopic, with lymphadenectomy",Radical hysterectomy,"laparoscopic, with lymphadenectomy",1.3,2.7,5.4,Very low,1.3,Very low,0.6,1.2,2.5,2.0,,NR,,NR
"Radical hysterectomy, robotic, with lymphadenectomy",Radical hysterectomy,"robotic, with lymphadenectomy",0.4,0.8,1.6,Very low,0.3,Very low,0.2,0.4,0.7,0.5,,NR,,NR
"Radical hysterectomy, open, with lymphadenectomy",Radical hysterectomy,"open, with lymphadenectomy",2.6,5.2,10.4,Very low,0.5,Very low,1.2,2.4,4.8,0.8,,0.5,Moderate,0.8
