Procedure and method,Procedure,Method,LOW VTE risk without thromboprophylaxis,MEDIUM VTE risk without thromboprophylaxis,HIGH VTE risk without thromboprophylaxis,Evidence quality VTE,Bleeding requiring reintervention without thromboprophylaxis,Evidence quality bleeding requiring reoperation,LOW VTE risk with thromboprophylaxis,MEDIUM VTE risk with thromboprophylaxis,HIGH VTE risk with thromboprophylaxis,Bleeding requiring reintervention with thromboprophylaxis,,Bleeding leading to transfusion without thromboprophylaxis,Evidence quality bleeding leading to transfusion,Bleeding leading to transfusion with thromboprophylaxis
open cx,Radical cystectomy,Open,2.9,5.8,11.6,Moderate,0.3,Moderate,1.5,2.9,5.8,0.5,,,,
rob cx,Radical cystectomy,Robotic,2.6,5.2,10.3,Low,0.3,Low,1.3,2.6,5.2,0.5,,,,
lap px wo plnd,Radical prostatectomy,"Laparoscopic, without PLND*",0.4,0.8,1.5,Moderate,0.7,Moderate,0.2,0.4,0.8,1.1,,,,
lap px stand plnd,Radical prostatectomy,"Laparoscopic, with standard PLND*",0.8,1.5,3.0,Moderate,1.0,Moderate,0.4,0.8,1.5,1.5,,,,
lap px ext plnd,Radical prostatectomy,"Laparoscopic, with extended PLND*",1.5,3.0,6.0,Moderate,1.4,Moderate,0.8,1.5,3.0,2.1,,,,
open px no plnd,Radical prostatectomy,"Open, without PLND*",1.0,2.0,3.9,Moderate,0.1,Moderate,0.5,1.0,2.0,0.2,,,,
open px stand plnd,Radical prostatectomy,"Open, with standard PLND*",2.0,3.9,7.9,Moderate,0.2,Moderate,1.0,2.0,4.0,0.3,,,,
open px ext plnd,Radical prostatectomy,"Open, with extended PLND*",3.9,7.9,15.7,Moderate,0.2,Moderate,2.0,4.0,7.9,0.3,,,,
rob px no plnd,Radical prostatectomy,"Robotic, without PLND*",0.2,0.5,0.9,Moderate,0.4,Moderate,0.1,0.3,0.5,0.6,,,,
rob pc st plnd,Radical prostatectomy,"Robotic, with standard PLND*",0.5,0.9,1.9,Moderate,0.6,Moderate,0.3,0.5,1.0,0.9,,,,
rob px ex plnd,Radical prostatectomy,"Robotic, with extended PLND*",0.9,1.9,3.7,Moderate,0.8,Moderate,0.5,1.0,1.9,1.2,,,,
part nx lap,Partial nephrectomy,Laparoscopic,1.1,2.1,4.2,Low,1.7,Low,0.6,1.1,2.1,2.6,,,,
part nx open,Partial nephrectomy,Open,1,2.0,3.9,Very low,0.1,Moderate,0.5,1.0,2.0,0.2,,,,
part nx rob,Partial nephrectomy,Robotic,1,1.9,3.9,Moderate,0.5,Moderate,0.5,1.0,2.0,0.8,,,,
rad nx lap,Radical nephrectomy,Laparoscopic,0.7,1.3,2.6,Very low,0.5,Very low,0.4,0.7,1.3,0.8,,,,
rad nx open,Radical nephrectomy,Open,1.1,2.2,4.4,Low,0.1,Very low,0.6,1.1,2.2,0.2,,,,
rad nx w thromb,Radical nephrectomy,With thrombectomy,2.9,5.8,11.6,Very low,2.0,Very low,1.5,2.9,5.8,3.0,,,,
NU,Nephroureterectomy,Open,1.6,3.1,6.2,Very low,0.1,Very low,0.8,1.6,3.1,0.2,,,,
penectomy,Radical penectomy,With inguinal lymph node dissection,0.8,1.6,3.1,Very low,NR,NR,0.4,0.8,1.6,NR,,,,
pns rplnd,Primary nerve-sparing retroperitoneal lymph node dissection,Any,2.3,4.5,9.1,Very low,0.2,Very low,1.2,2.3,4.6,0.3,,,,
