Procedure and method,Procedure,Method,LOW VTE risk without thromboprophylaxis,MEDIUM VTE risk without thromboprophylaxis,HIGH VTE risk without thromboprophylaxis,Evidence quality VTE,Bleeding requiring reintervention without thromboprophylaxis,Evidence quality bleeding requiring reoperation,LOW VTE risk with thromboprophylaxis,MEDIUM VTE risk with thromboprophylaxis,HIGH VTE risk with thromboprophylaxis,Bleeding requiring reintervention with thromboprophylaxis,,Bleeding leading to transfusion without thromboprophylaxis,Evidence quality bleeding leading to transfusion,Bleeding leading to transfusion with thromboprophylaxis
artificial sphin ter,Artificial urinary sphincter,Any,0.3,0.5,1.0,Very low,NR,NR,0.2,0.3,0.5,NR,,,,
open px,Simple prostatectomy,Open,2.7,5.4,10.8,Very low,NR,NR,1.4,2.7,5.4,NR,,,,
male sling,Sling surgery for male stress urinary incontinence,Any,0.4,0.8,1.6,Very low,NR,NR,0.2,0.4,0.8,NR,,,,
turp,Transurethral resection of the prostate ,Or equivalent,0.2,0.4,0.8,Low,0.2,Very low,0.1,0.2,0.4,0.3,,,,
urethrop,Urethroplasty,Any,0.3,0.6,1.1,Very low,NR,NR,0.2,0.3,0.6,NR,,,,
lap donor,Donor nephrectomy,Laparoscopic,0.4,0.7,1.4,Low,0.1,Low,0.2,0.4,0.7,0.2,,,,
open donor,Donor nephrectomy,Open,0.3,0.7,1.3,Very low,0.1,Very low,0.2,0.4,0.7,0.2,,,,
recipient,Recipient nephrectomy,Open,1.3,2.7,5.3,Very low,2.3,Very low,0.7,1.4,2.7,3.5,,,,
prolapse,Prolapse surgery,Open,0.2,0.3,0.7,Low,0.4,Very low,0.1,0.2,0.4,0.6,,,,
rps,Reconstructive pelvic surgery,Any,0.1,0.3,0.5,Very low,0.3,Very low,0.1,0.2,0.3,0.5,,,,
pcnl,Percutaneous nephrolithotomy,Any,0.2,0.4,0.7,Very low,0.9,Low,0.1,0.2,0.4,1.4,,,,
